Time,Open,High,Low,Close,Volume,Trades
2020-12-29 14:02:00,729.47,729.48,729.47,729.47,0.63,4.0
2020-12-29 14:03:00,729.47,729.47,729.47,729.47,0.13,1.0
2020-12-29 14:05:00,729.75,730.0,729.75,730.0,32.12451465,33.0
2020-12-29 14:06:00,732.07,732.07,732.03,732.03,0.35,2.0
2020-12-29 14:08:00,730.66,730.66,730.66,730.66,0.12,1.0
2020-12-29 14:13:00,730.86,730.86,730.86,730.86,0.26,1.0
2020-12-29 14:17:00,730.48,730.86,730.48,730.86,0.56979703,3.0
2020-12-29 14:18:00,730.86,730.86,730.86,730.86,23.12263498,3.0
2020-12-29 14:28:00,729.5,729.5,729.13,729.13,0.29,2.0
2020-12-29 14:30:00,727.61,727.61,726.6,727.29,24.01159431,6.0
2020-12-29 14:32:00,726.63,726.63,726.25,726.25,0.31,2.0
2020-12-29 14:38:00,729.78,729.78,729.78,729.78,0.21,1.0
2020-12-29 14:43:00,730.61,730.61,730.61,730.61,0.23,1.0
2020-12-29 14:44:00,730.62,730.62,730.62,730.62,0.25,2.0
2020-12-29 14:46:00,730.78,730.78,730.75,730.75,2.8966964,4.0
2020-12-29 14:47:00,732.0,732.0,732.0,732.0,0.05990014,1.0
2020-12-29 14:55:00,730.23,730.23,730.23,730.23,0.04176698,1.0
2020-12-29 15:01:00,729.51,729.51,729.51,729.51,0.34,2.0
2020-12-29 15:02:00,728.68,729.35,728.63,728.63,3.82,7.0
2020-12-29 15:03:00,728.62,728.62,725.0,725.0,1.73064616,5.0
2020-12-29 15:07:00,724.58,724.58,724.58,724.58,0.08,1.0
2020-12-29 15:09:00,724.27,724.27,722.89,722.89,0.6369548,3.0
2020-12-29 15:11:00,723.66,723.66,723.66,723.66,0.08,1.0
2020-12-29 15:14:00,724.84,724.84,724.84,724.84,0.33,1.0
2020-12-29 15:16:00,725.81,725.81,725.81,725.81,0.09,1.0
2020-12-29 15:19:00,726.9,726.9,726.9,726.9,0.28,1.0
2020-12-29 15:21:00,726.8,726.8,726.8,726.8,0.12,1.0
2020-12-29 15:23:00,726.41,726.41,726.4,726.4,2.0,2.0
2020-12-29 15:25:00,727.36,727.36,727.36,727.36,0.25,1.0
2020-12-29 15:26:00,727.58,727.58,727.58,727.58,0.13,1.0
2020-12-29 15:31:00,728.53,728.53,728.49,728.49,0.42,2.0
2020-12-29 15:32:00,727.49,727.49,727.49,727.49,0.15,1.0
2020-12-29 15:34:00,728.46,728.46,728.46,728.46,0.21,1.0
2020-12-29 15:36:00,728.17,728.17,727.54,727.54,0.46,4.0
2020-12-29 15:39:00,725.46,725.46,725.46,725.46,1.04088885,1.0
2020-12-29 15:48:00,725.5,725.5,725.5,725.5,0.20231564,1.0
2020-12-29 15:49:00,724.31,724.31,724.31,724.31,0.10117788,1.0
2020-12-29 15:51:00,724.56,725.08,724.56,725.08,0.30358657,2.0
2020-12-29 15:52:00,725.07,725.07,725.07,725.07,0.20213224,1.0
2020-12-29 15:54:00,723.24,723.24,723.24,723.24,0.15,1.0
2020-12-29 15:57:00,720.96,720.96,720.96,720.96,0.13,1.0
2020-12-29 15:59:00,721.65,721.67,721.65,721.67,0.50103027,2.0
2020-12-29 16:01:00,720.8,720.8,720.8,720.8,0.21,1.0
2020-12-29 16:04:00,723.51,724.05,723.51,724.05,1.89681744,4.0
2020-12-29 16:06:00,724.06,724.42,724.06,724.42,0.15389085,3.0
2020-12-29 16:11:00,724.6,724.78,724.6,724.78,0.10508405,2.0
2020-12-29 16:15:00,721.66,721.66,721.66,721.66,0.15,1.0
2020-12-29 16:19:00,719.92,719.92,719.88,719.88,1.83806275,2.0
2020-12-29 16:20:00,719.85,719.86,719.85,719.86,0.4529422,2.0
2020-12-29 16:23:00,716.62,716.62,715.18,715.18,0.47860494,10.0
2020-12-29 16:24:00,715.0,715.0,714.64,714.64,0.06489547,3.0
2020-12-29 16:29:00,716.99,716.99,716.99,716.99,0.31,1.0
2020-12-29 16:31:00,717.35,717.35,717.35,717.35,0.28,1.0
2020-12-29 16:34:00,718.13,718.25,718.13,718.25,0.23612,2.0
2020-12-29 16:38:00,719.35,719.35,719.35,719.35,1.25560095,1.0
2020-12-29 16:41:00,718.73,718.73,718.73,718.73,0.12,1.0
2020-12-29 16:42:00,717.02,717.02,716.53,716.53,4.68746,2.0
2020-12-29 16:43:00,716.54,716.54,716.54,716.54,0.16,1.0
2020-12-29 16:44:00,716.24,716.24,716.24,716.24,0.21,1.0
2020-12-29 16:45:00,719.27,719.27,719.27,719.27,2.03347355,1.0
2020-12-29 16:49:00,720.32,720.32,720.32,720.32,0.11,1.0
2020-12-29 16:50:00,718.52,718.52,718.52,718.52,0.1,1.0
2020-12-29 16:56:00,719.23,719.23,719.23,719.23,0.08,1.0
2020-12-29 17:00:00,716.56,716.56,716.56,716.56,10.0,1.0
2020-12-29 17:02:00,714.54,714.54,712.38,712.91,6.415663,19.0
2020-12-29 17:03:00,712.2,713.36,712.2,712.73,3.4293923,7.0
2020-12-29 17:04:00,712.2,712.2,711.12,711.12,0.12304259,7.0
2020-12-29 17:05:00,711.6,711.6,710.58,710.58,0.1274023,5.0
2020-12-29 17:06:00,710.4,710.4,707.86,707.86,6.61777375,20.0
2020-12-29 17:07:00,707.7,707.7,707.34,707.34,1.07163814,6.0
2020-12-29 17:13:00,709.36,709.36,708.82,708.82,8.41824409,22.0
2020-12-29 17:14:00,708.82,709.32,708.82,709.31,23.57855243,8.0
2020-12-29 17:17:00,712.45,712.45,712.45,712.45,0.31,1.0
2020-12-29 17:19:00,709.91,709.91,708.67,708.67,0.28,3.0
2020-12-29 17:21:00,710.01,710.01,710.01,710.01,0.13999997,1.0
2020-12-29 17:24:00,710.01,710.01,710.01,710.01,3e-08,1.0
2020-12-29 17:27:00,708.21,708.21,706.46,706.46,1.28,2.0
2020-12-29 17:44:00,710.36,710.36,709.53,709.53,0.4667592,4.0
2020-12-29 17:49:00,713.97,713.97,713.97,713.97,0.09,1.0
2020-12-29 17:50:00,713.97,713.97,713.97,713.97,0.3767592,1.0
2020-12-29 17:51:00,711.84,711.84,711.84,711.84,1.52756344,2.0
2020-12-29 17:52:00,711.13,711.13,710.98,710.98,0.34,2.0
2020-12-29 18:05:00,712.27,712.27,710.39,710.39,0.53,3.0
2020-12-29 18:09:00,709.03,709.03,709.03,709.03,0.18,1.0
2020-12-29 18:14:00,708.77,708.77,708.77,708.77,6.55969374,1.0
2020-12-29 18:22:00,713.46,713.46,713.33,713.33,17.34516952,3.0
2020-12-29 18:27:00,714.99,716.41,714.99,716.41,0.34396671,9.0
2020-12-29 18:28:00,716.41,716.41,716.4,716.4,0.306588,3.0
