Time,Open,High,Low,Close,Volume,Trades
2021-04-17 00:02:00,2448.86,2448.86,2448.86,2448.86,0.05,1.0
2021-04-17 00:04:00,2441.39,2441.39,2441.39,2441.39,0.02,1.0
2021-04-17 00:05:00,2440.99,2440.99,2439.47,2439.47,1.38886168,4.0
2021-04-17 00:06:00,2440.0,2440.0,2440.0,2440.0,0.29279034,3.0
2021-04-17 00:10:00,2443.05,2443.05,2436.42,2436.42,45.3982,12.0
2021-04-17 00:12:00,2439.23,2439.23,2438.5,2438.5,1.0,4.0
2021-04-17 00:14:00,2437.89,2437.89,2432.89,2432.89,8.32025,11.0
2021-04-17 00:23:00,2433.56,2433.56,2433.56,2433.56,0.0185,1.0
2021-04-17 00:24:00,2431.69,2431.69,2430.76,2430.76,4.89645319,9.0
2021-04-17 00:25:00,2433.36,2433.36,2433.36,2433.36,0.05,1.0
2021-04-17 00:28:00,2437.92,2437.92,2437.92,2437.92,0.23833,1.0
2021-04-17 00:34:00,2441.78,2441.78,2441.78,2441.78,0.00221,1.0
2021-04-17 00:45:00,2435.81,2435.81,2435.35,2435.35,0.9682652,2.0
2021-04-17 00:56:00,2430.39,2430.4,2430.38,2430.4,3.3126,4.0
2021-04-17 00:57:00,2430.44,2430.44,2430.44,2430.44,0.05,1.0
2021-04-17 00:58:00,2424.69,2424.69,2424.69,2424.69,0.04936255,1.0
2021-04-17 01:01:00,2426.07,2426.07,2426.07,2426.07,0.05,1.0
2021-04-17 01:18:00,2430.56,2430.56,2430.56,2430.56,0.10279562,1.0
2021-04-17 01:27:00,2430.23,2430.23,2430.23,2430.23,0.09451,1.0
2021-04-17 01:30:00,2429.4,2429.4,2429.4,2429.4,0.09176,1.0
2021-04-17 01:33:00,2424.97,2424.97,2424.07,2424.07,6.25147518,5.0
2021-04-17 01:35:00,2425.59,2425.59,2425.59,2425.59,0.05,1.0
2021-04-17 01:43:00,2427.07,2427.07,2427.07,2427.07,0.04509,1.0
2021-04-17 01:57:00,2435.07,2435.07,2435.07,2435.07,0.77367,1.0
2021-04-17 02:02:00,2438.73,2438.73,2434.1,2434.1,0.09855,2.0
2021-04-17 02:07:00,2454.17,2455.14,2454.17,2455.13,0.6902,3.0
2021-04-17 02:08:00,2458.2,2460.92,2458.2,2460.92,0.32405319,4.0
2021-04-17 02:09:00,2464.65,2468.47,2464.65,2468.47,1.00246,6.0
2021-04-17 02:10:00,2469.33,2469.33,2469.33,2469.33,1.0,1.0
2021-04-17 02:11:00,2468.02,2468.02,2468.02,2468.02,0.00586909,1.0
2021-04-17 02:12:00,2469.96,2469.96,2469.96,2469.96,0.47191578,4.0
2021-04-17 02:15:00,2471.83,2471.83,2471.83,2471.83,0.02746269,1.0
2021-04-17 02:18:00,2462.95,2462.95,2462.95,2462.95,0.4,2.0
2021-04-17 02:19:00,2460.89,2460.89,2460.89,2460.89,0.02,1.0
2021-04-17 02:23:00,2442.98,2442.98,2442.98,2442.98,0.1079,1.0
2021-04-17 02:24:00,2444.27,2444.27,2444.27,2444.27,0.05,1.0
2021-04-17 02:25:00,2440.07,2440.07,2438.71,2438.71,20.54121541,4.0
2021-04-17 02:33:00,2450.77,2450.77,2450.77,2450.77,0.82139476,3.0
2021-04-17 02:35:00,2440.92,2440.92,2426.37,2426.37,30.0,18.0
2021-04-17 02:37:00,2449.88,2449.88,2449.88,2449.88,0.63619267,1.0
2021-04-17 02:38:00,2454.64,2454.64,2454.64,2454.64,0.02,1.0
2021-04-17 02:44:00,2448.15,2448.15,2448.15,2448.15,0.05,1.0
2021-04-17 02:50:00,2458.18,2458.2,2458.18,2458.2,0.94905316,2.0
2021-04-17 02:54:00,2458.2,2458.2,2458.2,2458.2,3e-08,1.0
2021-04-17 03:00:00,2468.0,2468.22,2468.0,2468.22,0.07734731,2.0
2021-04-17 03:01:00,2466.34,2475.21,2466.34,2475.21,0.06504,3.0
2021-04-17 03:09:00,2475.28,2475.28,2475.28,2475.28,0.02,1.0
2021-04-17 03:18:00,2477.19,2477.19,2477.19,2477.19,0.93127143,1.0
2021-04-17 03:19:00,2478.17,2478.82,2478.17,2478.82,0.33236668,3.0
2021-04-17 03:20:00,2475.6,2475.6,2475.6,2475.6,0.019,1.0
2021-04-17 03:21:00,2480.08,2480.57,2480.08,2480.57,0.33342955,5.0
2021-04-17 03:24:00,2485.76,2486.75,2485.76,2486.75,20.2,5.0
2021-04-17 03:39:00,2474.81,2474.81,2474.81,2474.81,0.15,2.0
2021-04-17 03:42:00,2485.23,2485.39,2485.23,2485.39,1.3,2.0
2021-04-17 03:45:00,2485.97,2485.97,2485.97,2485.97,0.0188,1.0
2021-04-17 03:49:00,2489.26,2489.26,2489.26,2489.26,0.39268,1.0
2021-04-17 03:59:00,2482.17,2482.17,2482.17,2482.17,0.02717988,1.0
2021-04-17 04:16:00,2481.63,2481.63,2481.59,2481.59,0.919,3.0
2021-04-17 04:38:00,2491.65,2491.66,2491.65,2491.66,0.75122,2.0
2021-04-17 04:47:00,2488.47,2488.47,2488.47,2488.47,0.0446,1.0
2021-04-17 05:01:00,2489.54,2489.54,2489.54,2489.54,0.02551,1.0
2021-04-17 05:06:00,2479.78,2479.78,2479.75,2479.75,0.05354,2.0
2021-04-17 05:09:00,2477.46,2477.46,2477.46,2477.46,0.05,1.0
2021-04-17 05:22:00,2479.34,2479.49,2479.34,2479.49,5.0,4.0
2021-04-17 05:23:00,2476.9,2476.9,2476.9,2476.9,0.01841,1.0
2021-04-17 05:29:00,2472.46,2472.46,2472.46,2472.46,0.02653,1.0
2021-04-17 05:31:00,2474.8,2474.8,2474.8,2474.8,0.10386,1.0
2021-04-17 05:32:00,2476.82,2476.82,2476.82,2476.82,0.00582344,1.0
