Time,Open,High,Low,Close,Volume,Trades
2020-05-21 20:55:00,193.0,193.0,193.0,193.0,2.0,3.0
2020-05-21 21:01:00,193.28,193.28,193.28,193.28,1.32963889,2.0
2020-05-21 21:07:00,194.85,194.85,194.85,194.85,0.02,1.0
2020-05-21 21:25:00,197.48,197.63,197.48,197.63,64.97665438,4.0
2020-05-21 21:27:00,196.72,196.72,196.49,196.49,150.15,6.0
2020-05-21 21:46:00,198.68,198.76,198.68,198.76,31.3600034,3.0
2020-05-21 22:51:00,198.85,198.85,198.85,198.85,0.16595,1.0
2020-05-21 23:08:00,199.63,199.63,199.63,199.63,0.83036636,1.0
2020-05-21 23:56:00,199.12,199.12,199.12,199.12,0.46049965,1.0
2020-05-22 01:05:00,200.13,200.2,200.13,200.2,49.8,5.0
2020-05-22 01:38:00,199.12,199.12,199.12,199.12,0.11957165,1.0
2020-05-22 01:40:00,199.12,199.12,199.12,199.12,0.07042835,2.0
2020-05-22 02:44:00,197.6,197.61,197.6,197.61,5.0,2.0
2020-05-22 03:02:00,199.19,199.29,199.19,199.29,5.0,2.0
2020-05-22 03:03:00,199.2,199.23,199.2,199.23,2.0,3.0
2020-05-22 04:15:00,199.0,199.0,199.0,199.0,0.02364777,1.0
2020-05-22 05:10:00,198.44,198.47,198.44,198.47,2.00480949,2.0
2020-05-22 06:42:00,196.85,196.94,196.85,196.94,25.19272,4.0
2020-05-22 09:49:00,202.03,202.04,202.03,202.04,50.0,2.0
2020-05-22 10:29:00,201.23,201.37,201.23,201.37,5.0,3.0
2020-05-22 10:44:00,201.1,201.3,201.1,201.3,3.10603539,4.0
2020-05-22 11:44:00,201.51,201.6,201.51,201.6,5.0,2.0
2020-05-22 12:01:00,203.0,203.0,203.0,203.0,0.5,1.0
2020-05-22 12:25:00,203.44,203.46,203.44,203.46,4.0,3.0
2020-05-22 12:26:00,203.45,203.46,203.45,203.46,1.28984544,2.0
2020-05-22 12:28:00,203.46,203.46,203.46,203.46,1.71015456,1.0
2020-05-22 12:35:00,203.27,203.27,203.27,203.27,0.02,1.0
2020-05-22 12:40:00,203.39,203.39,203.39,203.39,1.2,1.0
2020-05-22 13:56:00,203.25,203.25,203.25,203.25,0.30572716,1.0
2020-05-22 14:00:00,203.25,203.25,203.25,203.25,0.93393342,1.0
2020-05-22 17:11:00,203.35,203.35,203.35,203.35,0.03121706,1.0
2020-05-22 17:17:00,203.58,203.58,203.58,203.58,0.235544,1.0
2020-05-22 17:27:00,204.51,204.51,204.51,204.51,0.04279868,1.0
2020-05-22 17:39:00,205.0,205.0,205.0,205.0,1.0,1.0
2020-05-22 18:04:00,204.5,204.5,204.5,204.5,0.2744337,1.0
2020-05-22 18:30:00,207.0,207.0,207.0,207.0,0.30952188,1.0
2020-05-22 18:32:00,206.95,206.95,206.95,206.95,0.11705352,1.0
2020-05-22 18:53:00,207.0,207.0,207.0,207.0,0.69047812,1.0
2020-05-22 20:15:00,209.0,209.0,209.0,209.0,0.2251873,2.0
2020-05-22 20:25:00,208.31,208.31,208.21,208.21,8.05142,5.0
2020-05-22 20:32:00,208.84,209.0,208.84,209.0,5.0,3.0
2020-05-23 00:38:00,208.27,208.34,208.27,208.34,3.63468275,4.0
