Time,Open,High,Low,Close,Volume,Trades
2021-04-19 16:58:00,2151.81,2151.81,2151.81,2151.81,0.11445,1.0
2021-04-19 17:00:00,2139.15,2139.15,2136.72,2136.72,2.82715525,2.0
2021-04-19 17:01:00,2129.58,2129.58,2124.14,2124.14,0.65070427,3.0
2021-04-19 17:02:00,2127.81,2127.81,2127.81,2127.81,0.05,1.0
2021-04-19 17:03:00,2119.81,2119.81,2115.0,2115.0,0.45956971,4.0
2021-04-19 17:04:00,2111.2,2111.2,2108.0,2108.0,2.65,5.0
2021-04-19 17:07:00,2122.89,2122.89,2122.89,2122.89,5.22019932,1.0
2021-04-19 17:08:00,2117.0,2117.0,2117.0,2117.0,0.08186112,1.0
2021-04-19 17:09:00,2118.46,2118.46,2118.46,2118.46,0.05,1.0
2021-04-19 17:10:00,2128.09,2128.09,2128.09,2128.09,0.01,1.0
2021-04-19 17:11:00,2132.28,2132.28,2129.58,2129.58,0.3019,2.0
2021-04-19 17:13:00,2136.0,2136.0,2136.0,2136.0,4.11,4.0
2021-04-19 17:14:00,2139.63,2139.63,2139.63,2139.63,0.12027773,1.0
2021-04-19 17:15:00,2142.17,2144.2,2142.17,2144.2,0.36890946,2.0
2021-04-19 17:16:00,2143.37,2143.37,2143.37,2143.37,0.05,1.0
2021-04-19 17:17:00,2149.4,2149.4,2149.4,2149.4,0.005,1.0
2021-04-19 17:18:00,2153.84,2153.84,2153.84,2153.84,0.02,1.0
2021-04-19 17:20:00,2143.44,2143.44,2143.44,2143.44,2.25534975,3.0
2021-04-19 17:21:00,2143.22,2143.22,2143.22,2143.22,0.8,1.0
2021-04-19 17:23:00,2132.86,2133.14,2130.61,2130.61,0.20537499,3.0
2021-04-19 17:27:00,2134.66,2134.66,2134.66,2134.66,0.02161263,1.0
2021-04-19 17:30:00,2148.75,2148.75,2148.75,2148.75,0.05,1.0
2021-04-19 17:31:00,2144.23,2144.23,2144.23,2144.23,0.3,1.0
2021-04-19 17:35:00,2128.61,2128.61,2128.61,2128.61,0.01,1.0
2021-04-19 17:36:00,2128.2,2128.2,2128.2,2128.2,0.2,1.0
2021-04-19 17:37:00,2126.64,2126.64,2126.0,2126.0,0.12055503,2.0
2021-04-19 17:38:00,2119.81,2119.81,2116.88,2116.88,0.41090946,3.0
2021-04-19 17:41:00,2112.84,2113.18,2112.84,2113.18,7.28599357,4.0
2021-04-19 17:42:00,2108.84,2108.84,2108.84,2108.84,0.02,1.0
2021-04-19 17:43:00,2106.76,2106.76,2106.76,2106.76,0.01,1.0
2021-04-19 17:44:00,2105.0,2105.0,2095.0,2095.0,6.59466261,16.0
2021-04-19 17:45:00,2105.86,2110.41,2095.7,2095.7,27.00109384,12.0
2021-04-19 17:46:00,2095.0,2095.0,2084.41,2084.41,0.84936896,7.0
2021-04-19 17:47:00,2083.33,2083.33,2082.94,2082.94,4.02,2.0
2021-04-19 17:49:00,2086.49,2086.49,2084.86,2084.86,3.0,2.0
2021-04-19 17:50:00,2099.59,2099.59,2099.59,2099.59,1.0,1.0
2021-04-19 17:51:00,2099.78,2099.78,2099.78,2099.78,0.05,1.0
2021-04-19 17:53:00,2107.75,2107.75,2107.75,2107.75,0.35460741,2.0
