Time,Open,High,Low,Close,Volume,Trades
2021-07-24 02:41:00,2121.0,2123.15,2121.0,2123.15,0.47109955,2.0
2021-07-24 02:44:00,2119.31,2120.57,2119.31,2120.57,0.37971078,2.0
2021-07-24 02:49:00,2115.46,2115.46,2115.46,2115.46,0.12,1.0
2021-07-24 02:59:00,2111.41,2111.68,2111.41,2111.68,0.93525321,4.0
2021-07-24 03:05:00,2114.33,2114.33,2114.33,2114.33,0.0744413,1.0
2021-07-24 03:06:00,2114.89,2114.89,2114.89,2114.89,0.02091906,1.0
2021-07-24 03:07:00,2114.5,2114.5,2114.5,2114.5,0.0987217,6.0
2021-07-24 03:08:00,2114.67,2114.67,2114.67,2114.67,0.04309882,1.0
2021-07-24 03:09:00,2109.86,2109.86,2109.86,2109.86,0.04739655,1.0
2021-07-24 03:11:00,2108.82,2108.82,2108.82,2108.82,0.09506127,1.0
2021-07-24 03:13:00,2111.95,2111.95,2111.95,2111.95,0.142191,1.0
2021-07-24 03:16:00,2114.05,2114.35,2114.05,2114.35,0.24105954,3.0
2021-07-24 03:17:00,2112.88,2112.88,2112.88,2112.88,0.71222595,1.0
2021-07-24 03:19:00,2118.49,2118.49,2118.49,2118.49,0.01374046,1.0
2021-07-24 03:20:00,2117.59,2117.59,2117.59,2117.59,0.16976126,1.0
2021-07-24 03:21:00,2117.37,2117.37,2117.37,2117.37,0.02801617,1.0
2021-07-24 03:30:00,2112.0,2112.0,2112.0,2112.0,0.05,1.0
2021-07-24 03:32:00,2109.21,2110.73,2109.21,2110.73,1.96543446,3.0
2021-07-24 03:33:00,2112.41,2112.41,2112.41,2112.41,0.6063081,1.0
2021-07-24 03:37:00,2114.59,2114.59,2114.59,2114.59,0.28507932,1.0
2021-07-24 03:38:00,2116.0,2116.0,2116.0,2116.0,0.004,1.0
2021-07-24 03:50:00,2118.88,2121.43,2118.88,2121.43,0.06598963,2.0
2021-07-24 03:53:00,2122.86,2122.86,2122.86,2122.86,2.78196853,1.0
2021-07-24 04:00:00,2126.5,2126.5,2126.5,2126.5,0.27644855,1.0
2021-07-24 04:06:00,2120.58,2120.58,2120.58,2120.58,0.02,1.0
2021-07-24 04:11:00,2122.15,2122.15,2122.15,2122.15,0.01526262,1.0
2021-07-24 04:20:00,2122.18,2122.18,2122.05,2122.05,0.72765208,2.0
2021-07-24 04:21:00,2122.86,2122.86,2122.51,2122.51,1.30330418,4.0
2021-07-24 04:24:00,2122.86,2122.86,2122.86,2122.86,0.114061,2.0
2021-07-24 04:25:00,2122.83,2122.83,2122.83,2122.83,0.07,1.0
2021-07-24 04:29:00,2125.17,2125.17,2125.17,2125.17,0.1145494,6.0
2021-07-24 04:33:00,2122.92,2122.92,2122.92,2122.92,0.00509997,1.0
2021-07-24 04:37:00,2121.0,2121.0,2121.0,2121.0,0.20859,1.0
