Time,Open,High,Low,Close,Volume,Trades
2021-06-03 15:44:00,2775.06,2775.07,2775.06,2775.07,0.33092986,3.0
2021-06-03 15:45:00,2771.94,2771.94,2771.93,2771.93,0.15,2.0
2021-06-03 15:46:00,2767.78,2767.78,2767.76,2767.76,0.2,2.0
2021-06-03 15:47:00,2779.56,2779.6,2779.56,2779.6,0.021,2.0
2021-06-03 15:50:00,2781.26,2781.28,2781.26,2781.28,0.625,3.0
2021-06-03 15:51:00,2777.33,2777.33,2777.33,2777.33,0.05,1.0
2021-06-03 15:52:00,2784.1,2784.1,2784.09,2784.09,0.05487658,2.0
2021-06-03 15:53:00,2789.9,2789.9,2789.9,2789.9,0.01,1.0
2021-06-03 15:55:00,2781.81,2781.81,2781.81,2781.81,1.12993,3.0
2021-06-03 15:59:00,2780.11,2780.11,2777.32,2777.32,1.00079,4.0
2021-06-03 16:00:00,2785.59,2785.59,2785.59,2785.59,0.01,1.0
2021-06-03 16:13:00,2796.49,2799.95,2796.49,2798.42,1.68451672,10.0
2021-06-03 16:17:00,2777.22,2777.22,2777.22,2777.22,0.01,1.0
2021-06-03 16:45:00,2787.01,2787.01,2787.01,2787.01,0.056741,1.0
2021-06-03 16:56:00,2787.46,2787.46,2782.78,2782.78,7.72745935,9.0
2021-06-03 17:00:00,2792.36,2794.62,2792.36,2794.62,0.49861,3.0
2021-06-03 17:01:00,2801.47,2801.47,2801.47,2801.47,0.00979871,1.0
2021-06-03 17:03:00,2806.04,2806.04,2806.04,2806.04,0.87975659,2.0
2021-06-03 17:06:00,2808.5,2808.5,2808.5,2808.5,0.145,1.0
2021-06-03 17:07:00,2808.51,2808.51,2808.51,2808.51,0.03560263,1.0
2021-06-03 17:11:00,2808.53,2808.54,2808.53,2808.54,1.1,3.0
2021-06-03 17:16:00,2804.3,2804.3,2804.29,2804.29,2.50432859,9.0
2021-06-03 17:17:00,2794.01,2794.01,2794.01,2794.01,0.01,1.0
2021-06-03 17:24:00,2794.81,2794.81,2794.81,2794.81,0.022,2.0
2021-06-03 17:30:00,2798.14,2798.14,2798.14,2798.14,20.0,4.0
2021-06-03 17:50:00,2790.8,2790.8,2790.8,2790.8,0.01,1.0
2021-06-03 18:00:00,2795.71,2795.71,2795.71,2795.71,0.21018798,1.0
2021-06-03 18:02:00,2790.7,2790.7,2786.11,2786.11,2.18543644,3.0
2021-06-03 18:05:00,2782.8,2782.8,2782.8,2782.8,0.05465,3.0
2021-06-03 18:06:00,2783.61,2783.61,2782.14,2782.14,6.04284717,5.0
2021-06-03 18:08:00,2785.91,2785.91,2785.91,2785.91,0.2149,3.0
2021-06-03 18:20:00,2808.53,2808.53,2808.53,2808.53,0.01,1.0
2021-06-03 18:21:00,2805.51,2805.51,2805.51,2805.51,0.50814579,1.0
2021-06-03 18:22:00,2798.94,2798.95,2798.03,2798.92,3.18890903,6.0
2021-06-03 18:24:00,2798.95,2798.95,2798.95,2798.95,1.24912,1.0
2021-06-03 18:31:00,2813.12,2818.22,2813.12,2818.22,0.11,3.0
2021-06-03 18:33:00,2818.23,2818.23,2818.23,2818.23,0.52527564,2.0
2021-06-03 18:34:00,2822.0,2822.04,2822.0,2822.04,3.06399575,3.0
2021-06-03 18:36:00,2822.18,2831.14,2822.18,2831.14,2.33069875,5.0
2021-06-03 18:38:00,2835.36,2839.77,2835.36,2839.77,20.03945234,13.0
2021-06-03 18:42:00,2835.37,2835.37,2835.37,2835.37,1.22330606,1.0
2021-06-03 18:45:00,2835.77,2853.58,2835.77,2853.58,79.0,29.0
2021-06-03 19:00:00,2831.41,2831.41,2831.41,2831.41,0.01,2.0
2021-06-03 19:03:00,2832.31,2833.28,2832.31,2833.28,3.05,5.0
2021-06-03 19:19:00,2834.21,2834.21,2833.72,2833.72,3.534,3.0
2021-06-03 19:23:00,2837.62,2837.62,2836.96,2836.96,2.30384,3.0
2021-06-03 19:26:00,2841.85,2841.85,2841.85,2841.85,0.03526876,1.0
2021-06-03 19:32:00,2841.44,2841.44,2841.44,2841.44,0.87614838,2.0
2021-06-03 19:35:00,2835.53,2835.53,2835.53,2835.53,0.00567006,1.0
2021-06-03 19:40:00,2837.12,2837.12,2837.12,2837.12,0.0070494,1.0
2021-06-03 19:41:00,2837.12,2837.27,2837.12,2837.27,2.64,2.0
2021-06-03 19:56:00,2830.18,2830.19,2830.18,2830.19,0.58324,2.0
2021-06-03 20:00:00,2826.59,2826.59,2826.59,2826.59,0.01,1.0
2021-06-03 20:01:00,2825.31,2825.31,2825.3,2825.3,5.68802483,3.0
2021-06-03 20:02:00,2827.51,2827.51,2827.49,2827.49,1.4,3.0
2021-06-03 20:13:00,2828.89,2828.9,2828.89,2828.9,0.07069886,2.0
2021-06-03 20:15:00,2829.3,2832.38,2829.3,2832.38,0.48763664,4.0
2021-06-03 20:19:00,2822.56,2822.56,2822.56,2822.56,0.19194061,1.0
2021-06-03 20:21:00,2815.68,2815.68,2815.68,2815.68,0.01,1.0
2021-06-03 20:22:00,2814.24,2814.24,2814.24,2814.24,0.0463,1.0
2021-06-03 20:26:00,2817.14,2817.14,2817.14,2817.14,0.26486005,2.0
2021-06-03 20:28:00,2814.34,2814.34,2814.34,2814.34,0.03553231,1.0
2021-06-03 20:30:00,2809.79,2809.79,2809.79,2809.79,0.52016083,2.0
2021-06-03 20:31:00,2807.33,2807.33,2807.33,2807.33,0.03562116,1.0
2021-06-03 20:35:00,2795.96,2795.96,2795.95,2795.95,0.01,2.0
2021-06-03 20:36:00,2795.9,2795.9,2795.89,2795.89,0.27536301,4.0
2021-06-03 20:43:00,2800.7,2800.7,2800.7,2800.7,0.70887948,3.0
2021-06-03 20:45:00,2796.67,2796.68,2792.94,2792.94,0.37602194,4.0
2021-06-03 20:47:00,2802.14,2802.14,2802.14,2802.14,0.07137402,1.0
2021-06-03 20:51:00,2793.99,2793.99,2793.99,2793.99,0.025,1.0
2021-06-03 20:52:00,2790.83,2790.83,2790.83,2790.83,0.01,1.0
2021-06-03 20:59:00,2793.78,2793.78,2793.78,2793.78,0.288,1.0
2021-06-03 21:00:00,2784.88,2788.73,2784.88,2788.73,0.04554555,3.0
2021-06-03 21:01:00,2785.82,2785.82,2785.02,2785.02,0.5,2.0
2021-06-03 21:09:00,2784.5,2784.5,2784.47,2784.47,0.007,2.0
2021-06-03 21:19:00,2805.03,2805.03,2805.03,2805.03,0.025,1.0
2021-06-03 21:23:00,2794.36,2794.36,2794.36,2794.36,0.025,1.0
2021-06-03 21:28:00,2800.0,2800.0,2800.0,2800.0,0.007,1.0
2021-06-03 21:34:00,2791.67,2791.67,2790.98,2790.98,4.06385637,6.0
2021-06-03 21:51:00,2800.14,2800.16,2800.14,2800.16,0.28569693,3.0
2021-06-03 22:00:00,2798.09,2798.1,2798.09,2798.1,0.01,2.0
2021-06-03 22:12:00,2801.81,2801.81,2801.81,2801.81,0.606,1.0
2021-06-03 22:15:00,2799.2,2799.21,2799.2,2799.21,0.12984918,2.0
2021-06-03 22:21:00,2800.73,2800.73,2800.71,2800.71,2.0,5.0
2021-06-03 22:24:00,2806.27,2806.27,2806.27,2806.27,0.025,1.0
2021-06-03 22:32:00,2810.35,2810.35,2810.35,2810.35,0.05,1.0
2021-06-03 22:40:00,2802.4,2802.4,2802.4,2802.4,0.17577424,1.0
2021-06-03 22:53:00,2810.35,2813.15,2810.35,2813.15,1.88476399,7.0
2021-06-03 22:59:00,2825.73,2825.74,2821.78,2821.78,3.57758,8.0
2021-06-03 23:00:00,2817.47,2817.47,2817.47,2817.47,0.01,1.0
2021-06-03 23:03:00,2820.0,2828.99,2820.0,2828.99,1.1097125,6.0
2021-06-03 23:05:00,2833.23,2836.71,2833.23,2836.7,0.35972557,5.0
2021-06-03 23:07:00,2838.21,2843.63,2838.21,2843.63,3.97128492,5.0
2021-06-03 23:10:00,2843.63,2843.63,2843.63,2843.63,5.0,2.0
2021-06-03 23:14:00,2835.49,2837.75,2835.49,2837.75,0.155,2.0
2021-06-03 23:19:00,2835.0,2835.0,2833.66,2833.66,0.12,2.0
2021-06-03 23:35:00,2822.54,2822.54,2821.23,2821.23,0.05301299,2.0
2021-06-03 23:36:00,2820.56,2820.56,2820.56,2820.56,0.01,1.0
2021-06-03 23:39:00,2814.33,2814.33,2814.33,2814.33,0.00430188,1.0
2021-06-03 23:46:00,2817.87,2818.93,2817.87,2818.93,0.06872878,2.0
2021-06-03 23:53:00,2816.0,2816.0,2816.0,2816.0,0.07096666,1.0
2021-06-04 00:01:00,2819.49,2819.49,2819.49,2819.49,0.03551136,1.0
2021-06-04 00:04:00,2822.39,2822.39,2822.39,2822.39,2.15166397,5.0
2021-06-04 00:17:00,2840.47,2840.47,2840.47,2840.47,0.1,1.0
2021-06-04 00:23:00,2836.14,2836.15,2836.14,2836.15,0.50233141,2.0
2021-06-04 00:38:00,2836.2,2836.2,2836.2,2836.2,0.26828939,1.0
2021-06-04 00:39:00,2836.2,2836.2,2836.2,2836.2,0.0178613,1.0
2021-06-04 00:40:00,2836.2,2836.2,2836.2,2836.2,1.71384931,2.0
2021-06-04 00:49:00,2843.12,2850.19,2843.12,2850.19,0.56541426,5.0
2021-06-04 00:50:00,2850.0,2850.0,2850.0,2850.0,0.5,2.0
2021-06-04 00:58:00,2838.29,2838.29,2838.29,2838.29,0.21,1.0
2021-06-04 01:05:00,2847.49,2849.73,2847.49,2849.73,2.87965338,5.0
2021-06-04 01:07:00,2846.05,2846.05,2846.04,2846.04,0.03119332,2.0
2021-06-04 01:15:00,2843.5,2843.5,2843.2,2843.2,3.97128492,6.0
2021-06-04 01:18:00,2850.55,2851.11,2850.55,2851.11,1.4,2.0
2021-06-04 01:31:00,2860.0,2860.0,2860.0,2860.0,20.0,11.0
2021-06-04 01:35:00,2864.79,2864.79,2864.79,2864.79,2.62061,1.0
2021-06-04 01:36:00,2867.52,2870.0,2867.52,2870.0,11.69323225,6.0
2021-06-04 01:45:00,2869.83,2869.83,2868.07,2868.07,1.0,3.0
2021-06-04 01:47:00,2865.58,2867.74,2865.58,2867.74,5.0,4.0
2021-06-04 01:49:00,2860.7,2861.3,2860.7,2861.3,3.1,2.0
2021-06-04 01:56:00,2850.74,2850.74,2850.74,2850.74,0.01,1.0
2021-06-04 01:58:00,2855.07,2855.07,2852.39,2852.39,1.33819232,4.0
2021-06-04 02:00:00,2855.0,2857.23,2855.0,2857.23,0.11,6.0
2021-06-04 02:02:00,2857.15,2857.15,2857.15,2857.15,0.01757786,1.0
2021-06-04 02:04:00,2839.37,2839.37,2839.37,2839.37,0.05,1.0
2021-06-04 02:07:00,2825.56,2825.56,2822.46,2822.46,36.0,11.0
2021-06-04 02:10:00,2819.99,2819.99,2819.99,2819.99,0.01,1.0
2021-06-04 02:11:00,2818.24,2818.24,2818.24,2818.24,0.00589003,1.0
2021-06-04 02:14:00,2828.01,2828.02,2828.01,2828.02,0.025,2.0
2021-06-04 02:16:00,2833.19,2833.19,2830.11,2830.11,13.72615,15.0
2021-06-04 02:18:00,2828.02,2828.02,2828.02,2828.02,0.17651971,1.0
2021-06-04 02:23:00,2816.65,2816.65,2816.65,2816.65,0.01,1.0
2021-06-04 02:24:00,2816.0,2816.0,2816.0,2816.0,6.228e-05,1.0
2021-06-04 02:25:00,2809.79,2809.79,2809.79,2809.79,0.5201,1.0
2021-06-04 02:27:00,2809.89,2809.89,2806.49,2806.49,10.0,10.0
2021-06-04 02:29:00,2813.56,2813.56,2813.56,2813.56,0.9,1.0
2021-06-04 02:42:00,2796.64,2796.64,2796.64,2796.64,0.01,1.0
2021-06-04 02:44:00,2804.71,2804.71,2804.71,2804.71,0.04527559,1.0
2021-06-04 02:58:00,2804.25,2805.27,2804.24,2805.26,6.34921929,4.0
2021-06-04 03:00:00,2806.6,2806.6,2806.6,2806.6,0.05263798,1.0
2021-06-04 03:01:00,2806.94,2806.95,2806.94,2806.95,0.01,2.0
2021-06-04 03:11:00,2784.12,2784.12,2773.57,2773.57,10.51912171,16.0
2021-06-04 03:15:00,2764.69,2764.7,2750.0,2750.0,12.1005517,19.0
2021-06-04 03:16:00,2744.65,2744.65,2725.0,2725.0,15.29661629,16.0
2021-06-04 03:17:00,2718.89,2721.6,2688.85,2712.0,49.71261147,47.0
2021-06-04 03:18:00,2718.03,2727.14,2712.02,2727.14,2.60783202,11.0
2021-06-04 03:19:00,2724.79,2724.79,2720.54,2722.01,1.88102215,7.0
2021-06-04 03:20:00,2719.64,2722.37,2719.64,2722.37,0.01145626,3.0
2021-06-04 03:21:00,2730.17,2736.7,2730.17,2736.7,2.98525102,5.0
2021-06-04 03:22:00,2730.01,2730.01,2726.32,2726.32,2.33441603,4.0
2021-06-04 03:25:00,2716.11,2716.11,2708.47,2714.26,4.60192354,8.0
2021-06-04 03:26:00,2725.5,2725.51,2725.5,2725.51,2.2286,2.0
2021-06-04 03:30:00,2727.06,2736.7,2727.06,2736.7,3.85666937,10.0
2021-06-04 03:35:00,2731.17,2731.17,2731.17,2731.17,0.01,1.0
2021-06-04 03:38:00,2731.21,2731.21,2728.17,2728.17,10.67651168,8.0
2021-06-04 03:49:00,2726.28,2726.28,2726.28,2726.28,2.2191,1.0
2021-06-04 03:50:00,2725.29,2725.29,2725.29,2725.29,0.01,1.0
2021-06-04 03:51:00,2721.47,2721.48,2721.47,2721.48,20.00779175,12.0
2021-06-04 04:00:00,2737.56,2737.56,2729.93,2729.93,2.22502362,5.0
2021-06-04 04:09:00,2719.59,2719.59,2719.59,2719.59,0.0453,1.0
2021-06-04 04:12:00,2702.28,2702.28,2695.97,2695.97,5.02898549,6.0
2021-06-04 04:13:00,2691.45,2691.45,2691.44,2691.44,1.0,2.0
2021-06-04 04:22:00,2712.23,2712.37,2712.23,2712.37,3.0,4.0
2021-06-04 04:23:00,2710.49,2710.49,2710.49,2710.49,0.0443,1.0
2021-06-04 04:28:00,2708.17,2708.18,2708.17,2708.18,0.04,2.0
2021-06-04 04:29:00,2709.0,2709.0,2709.0,2709.0,24.48780894,12.0
2021-06-04 04:31:00,2721.47,2721.47,2721.47,2721.47,0.01,1.0
2021-06-04 04:32:00,2725.83,2725.83,2725.69,2725.69,3.96247,3.0
2021-06-04 04:45:00,2721.27,2721.27,2721.27,2721.27,0.36016108,3.0
2021-06-04 04:47:00,2720.62,2721.83,2720.62,2721.83,4.1398955,4.0
2021-06-04 04:48:00,2726.5,2726.5,2726.5,2726.5,0.09315038,1.0
2021-06-04 04:49:00,2733.91,2734.06,2733.91,2734.06,0.813,3.0
2021-06-04 04:50:00,2734.18,2734.2,2734.18,2734.2,0.02680081,2.0
2021-06-04 05:00:00,2736.7,2741.13,2736.7,2741.13,0.55092545,4.0
2021-06-04 05:01:00,2737.45,2737.45,2737.45,2737.45,0.22,1.0
